Date,Product,Sales Amount,Opportunity Status,Customer,Total Sales
2023-02-16,Desktop,3460.97,Won,Customer_77,15264.8
2023-02-16,Laptop,2928.52,Won,Customer_83,15264.8
2023-02-16,Phone,2560.05,Won,Customer_15,15264.8
2023-02-16,Desktop,2560.55,Won,Customer_11,15264.8
2023-02-16,Laptop,3754.71,Pending,Customer_16,15264.8
2023-02-17,Accessories,4911.65,Won,Customer_55,9516.5
2023-02-17,Accessories,442.66,Won,Customer_40,9516.5
2023-02-17,Tablet,4162.19,Won,Customer_81,9516.5
2023-02-18,Tablet,3370.02,Won,Customer_66,5818.02
2023-02-18,Accessories,2448.0,Won,Customer_49,5818.02
2023-02-19,Phone,3008.34,Won,Customer_94,3008.34
2023-02-20,Tablet,2909.41,Lost,Customer_16,16414.13
2023-02-20,Phone,4856.67,Pending,Customer_49,16414.13
2023-02-20,Accessories,2995.25,Won,Customer_73,16414.13
2023-02-20,Accessories,2834.41,Lost,Customer_47,16414.13
2023-02-20,Laptop,110.31,Won,Customer_31,16414.13
2023-02-20,Tablet,2708.08,Pending,Customer_11,16414.13
2023-02-21,Desktop,1974.38,Lost,Customer_99,8674.66
2023-02-21,Tablet,2536.55,Won,Customer_13,8674.66
2023-02-21,Desktop,4163.73,Won,Customer_31,8674.66
2023-02-22,Desktop,4946.24,Lost,Customer_80,16287.68
2023-02-22,Tablet,4097.17,Won,Customer_40,16287.68
2023-02-22,Phone,1228.21,Won,Customer_92,16287.68
2023-02-22,Phone,1461.33,Won,Customer_5,16287.68
2023-02-22,Accessories,4180.13,Won,Customer_89,16287.68
2023-02-22,Laptop,187.93,Won,Customer_68,16287.68
2023-02-22,Tablet,186.67,Won,Customer_81,16287.68
2023-02-23,Laptop,1770.0,Pending,Customer_37,19853.510000000002
2023-02-23,Tablet,2668.38,Won,Customer_30,19853.510000000002
2023-02-23,Laptop,3722.54,Won,Customer_25,19853.510000000002
2023-02-23,Phone,3012.02,Lost,Customer_13,19853.510000000002
2023-02-23,Desktop,3412.31,Pending,Customer_97,19853.510000000002
2023-02-23,Accessories,956.39,Lost,Customer_10,19853.510000000002
2023-02-23,Accessories,4311.87,Pending,Customer_80,19853.510000000002
2023-02-24,Phone,539.17,Pending,Customer_50,539.17
2023-02-25,Laptop,1998.22,Lost,Customer_26,2940.2799999999997
2023-02-25,Laptop,942.06,Lost,Customer_26,2940.2799999999997
2023-02-26,Desktop,891.94,Won,Customer_80,891.94
2023-02-27,Accessories,243.88,Lost,Customer_4,16335.210000000001
2023-02-27,Phone,4516.35,Lost,Customer_22,16335.210000000001
2023-02-27,Accessories,3036.91,Won,Customer_89,16335.210000000001
2023-02-27,Accessories,4383.89,Won,Customer_92,16335.210000000001
2023-02-27,Laptop,2530.63,Won,Customer_63,16335.210000000001
2023-02-27,Desktop,1623.55,Lost,Customer_4,16335.210000000001
2023-02-28,Phone,1053.34,Won,Customer_17,1053.34
2023-03-01,Desktop,1074.4,Won,Customer_95,1228.45
2023-03-01,Desktop,154.05,Won,Customer_84,1228.45
2023-03-02,Desktop,3634.83,Won,Customer_85,8592.02
2023-03-02,Desktop,4957.19,Won,Customer_97,8592.02
2023-03-03,Phone,1966.46,Lost,Customer_95,11337.27
2023-03-03,Laptop,2200.29,Lost,Customer_100,11337.27
2023-03-03,Accessories,3236.82,Lost,Customer_17,11337.27
2023-03-03,Laptop,3933.7,Won,Customer_22,11337.27
2023-03-04,Laptop,4419.11,Lost,Customer_95,8751.32
2023-03-04,Desktop,106.06,Lost,Customer_38,8751.32
2023-03-04,Phone,1170.37,Lost,Customer_79,8751.32
2023-03-04,Desktop,3055.78,Won,Customer_95,8751.32
2023-03-06,Tablet,3956.92,Won,Customer_38,11581.9
2023-03-06,Desktop,3411.62,Won,Customer_99,11581.9
2023-03-06,Laptop,4213.36,Won,Customer_60,11581.9
2023-03-07,Desktop,4856.75,Won,Customer_96,5533.23
2023-03-07,Tablet,676.48,Won,Customer_60,5533.23
2023-03-08,Accessories,2943.09,Won,Customer_27,2943.09
2023-03-09,Phone,4224.44,Won,Customer_84,4842.339999999999
2023-03-09,Tablet,617.9,Pending,Customer_32,4842.339999999999
2023-03-10,Tablet,2769.75,Won,Customer_14,8617.87
2023-03-10,Phone,3703.98,Pending,Customer_73,8617.87
2023-03-10,Phone,1170.7,Pending,Customer_4,8617.87
2023-03-10,Tablet,973.44,Won,Customer_90,8617.87
2023-03-11,Desktop,532.19,Lost,Customer_24,4545.3
2023-03-11,Accessories,4013.11,Pending,Customer_23,4545.3
2023-03-13,Phone,4355.9,Won,Customer_15,8176.69
2023-03-13,Phone,3820.79,Lost,Customer_7,8176.69
2023-03-14,Laptop,3267.61,Won,Customer_31,3267.61
2023-03-15,Tablet,1014.94,Lost,Customer_45,1014.94
2023-03-16,Tablet,600.53,Won,Customer_12,6057.009999999999
2023-03-16,Accessories,3159.68,Won,Customer_34,6057.009999999999
2023-03-16,Tablet,1387.11,Lost,Customer_16,6057.009999999999
2023-03-16,Desktop,909.69,Won,Customer_76,6057.009999999999
2023-03-17,Laptop,4026.7,Won,Customer_60,10244.1
2023-03-17,Phone,2261.25,Pending,Customer_31,10244.1
2023-03-17,Accessories,3956.15,Won,Customer_50,10244.1
2023-03-19,Desktop,3774.27,Won,Customer_16,7944.8
2023-03-19,Tablet,2758.42,Won,Customer_43,7944.8
2023-03-19,Tablet,1412.11,Won,Customer_30,7944.8
2023-03-21,Accessories,653.42,Lost,Customer_60,653.42
2023-03-22,Laptop,2624.36,Won,Customer_93,12336.12
2023-03-22,Phone,4537.07,Lost,Customer_57,12336.12
2023-03-22,Desktop,2443.35,Won,Customer_41,12336.12
2023-03-22,Laptop,2731.34,Lost,Customer_19,12336.12
2023-03-23,Desktop,2122.53,Won,Customer_16,2122.53
2023-03-24,Desktop,4206.95,Won,Customer_93,8842.57
2023-03-24,Phone,4635.62,Won,Customer_76,8842.57
2023-03-25,Tablet,790.7,Won,Customer_35,790.7
2023-03-26,Laptop,2202.99,Lost,Customer_76,2202.99
2023-03-27,Laptop,1567.27,Won,Customer_11,4404.52
2023-03-27,Accessories,1956.66,Lost,Customer_97,4404.52
2023-03-27,Tablet,880.59,Won,Customer_83,4404.52
2023-03-29,Tablet,633.7,Won,Customer_53,633.7
2023-03-30,Laptop,1128.23,Won,Customer_37,2675.09
2023-03-30,Laptop,1546.86,Lost,Customer_15,2675.09
2023-03-31,Accessories,523.48,Lost,Customer_35,5559.03
2023-03-31,Laptop,2786.77,Won,Customer_69,5559.03
2023-03-31,Phone,1865.85,Lost,Customer_98,5559.03
2023-03-31,Accessories,382.93,Pending,Customer_69,5559.03
2023-04-01,Accessories,4943.24,Won,Customer_96,4943.24
2023-04-02,Phone,298.74,Won,Customer_53,5892.68
2023-04-02,Tablet,2679.85,Won,Customer_23,5892.68
2023-04-02,Laptop,842.69,Won,Customer_15,5892.68
2023-04-02,Accessories,2071.4,Pending,Customer_21,5892.68
2023-04-03,Tablet,3689.0,Won,Customer_6,7309.3
2023-04-03,Tablet,3620.3,Won,Customer_35,7309.3
2023-04-04,Accessories,1115.81,Pending,Customer_36,6072.33
2023-04-04,Accessories,4956.52,Won,Customer_72,6072.33
2023-04-05,Desktop,4654.19,Lost,Customer_77,14287.65
2023-04-05,Desktop,259.96,Won,Customer_67,14287.65
2023-04-05,Accessories,4280.14,Won,Customer_72,14287.65
2023-04-05,Laptop,2441.6,Won,Customer_29,14287.65
2023-04-05,Tablet,2651.76,Won,Customer_81,14287.65
2023-04-06,Accessories,207.97,Pending,Customer_4,7733.5599999999995
2023-04-06,Tablet,2448.84,Lost,Customer_3,7733.5599999999995
2023-04-06,Laptop,3559.49,Lost,Customer_65,7733.5599999999995
2023-04-06,Desktop,830.1,Won,Customer_64,7733.5599999999995
2023-04-06,Laptop,687.16,Won,Customer_48,7733.5599999999995
2023-04-07,Desktop,436.69,Won,Customer_63,3565.14
2023-04-07,Accessories,3128.45,Lost,Customer_59,3565.14
2023-04-08,Desktop,1490.76,Lost,Customer_12,5540.280000000001
2023-04-08,Accessories,3935.21,Won,Customer_72,5540.280000000001
2023-04-08,Desktop,114.31,Won,Customer_19,5540.280000000001
2023-04-09,Phone,3432.65,Won,Customer_79,25663.15
2023-04-09,Tablet,4489.49,Lost,Customer_43,25663.15
2023-04-09,Laptop,723.28,Won,Customer_54,25663.15
2023-04-09,Laptop,463.78,Won,Customer_43,25663.15
2023-04-09,Laptop,1339.99,Won,Customer_62,25663.15
2023-04-09,Accessories,4840.05,Won,Customer_64,25663.15
2023-04-09,Desktop,3120.85,Pending,Customer_100,25663.15
2023-04-09,Phone,3436.78,Won,Customer_40,25663.15
2023-04-09,Accessories,3816.28,Won,Customer_37,25663.15
2023-04-10,Accessories,4900.27,Won,Customer_94,10706.970000000001
2023-04-10,Laptop,830.06,Pending,Customer_87,10706.970000000001
2023-04-10,Accessories,3771.49,Pending,Customer_17,10706.970000000001
2023-04-10,Accessories,1205.15,Lost,Customer_76,10706.970000000001
2023-04-11,Phone,4255.43,Won,Customer_3,11814.2
2023-04-11,Tablet,1878.43,Won,Customer_9,11814.2
2023-04-11,Accessories,2037.63,Pending,Customer_73,11814.2
2023-04-11,Desktop,277.81,Lost,Customer_90,11814.2
2023-04-11,Accessories,3364.9,Lost,Customer_52,11814.2
2023-04-13,Laptop,4762.24,Won,Customer_59,9788.86
2023-04-13,Tablet,3424.06,Won,Customer_85,9788.86
2023-04-13,Phone,171.87,Won,Customer_55,9788.86
2023-04-13,Phone,1430.69,Won,Customer_18,9788.86
2023-04-14,Phone,2833.28,Won,Customer_31,7553.15
2023-04-14,Accessories,4719.87,Won,Customer_78,7553.15
2023-04-15,Phone,4422.46,Won,Customer_58,8562.68
2023-04-15,Laptop,4140.22,Won,Customer_13,8562.68
2023-04-16,Laptop,1867.79,Won,Customer_39,7640.71
2023-04-16,Accessories,2424.01,Won,Customer_36,7640.71
2023-04-16,Desktop,3348.91,Won,Customer_5,7640.71
2023-04-17,Desktop,3248.62,Won,Customer_62,6979.43
2023-04-17,Phone,3730.81,Won,Customer_12,6979.43
2023-04-18,Accessories,4143.9,Lost,Customer_72,7916.67
2023-04-18,Tablet,3772.77,Lost,Customer_49,7916.67
2023-04-19,Tablet,615.77,Won,Customer_80,5354.299999999999
2023-04-19,Accessories,4738.53,Won,Customer_16,5354.299999999999
2023-04-21,Phone,584.48,Won,Customer_49,14018.71
2023-04-21,Desktop,4889.52,Lost,Customer_89,14018.71
2023-04-21,Desktop,4862.92,Pending,Customer_32,14018.71
2023-04-21,Laptop,765.37,Won,Customer_12,14018.71
2023-04-21,Phone,2916.42,Won,Customer_58,14018.71
2023-04-22,Desktop,4658.56,Lost,Customer_27,14880.95
2023-04-22,Laptop,3183.56,Pending,Customer_74,14880.95
2023-04-22,Phone,3965.13,Won,Customer_25,14880.95
2023-04-22,Tablet,3073.7,Won,Customer_27,14880.95
2023-04-23,Tablet,1239.5,Won,Customer_85,14592.669999999998
2023-04-23,Laptop,2056.91,Lost,Customer_92,14592.669999999998
2023-04-23,Desktop,3327.59,Won,Customer_97,14592.669999999998
2023-04-23,Accessories,2346.49,Won,Customer_23,14592.669999999998
2023-04-23,Phone,782.07,Won,Customer_49,14592.669999999998
2023-04-23,Laptop,4143.48,Lost,Customer_62,14592.669999999998
2023-04-23,Tablet,696.63,Won,Customer_89,14592.669999999998
2023-04-24,Phone,4408.42,Lost,Customer_4,8368.21
2023-04-24,Laptop,3959.79,Won,Customer_89,8368.21
2023-04-25,Desktop,727.14,Won,Customer_86,727.14
2023-04-26,Accessories,752.41,Lost,Customer_15,4243.67
2023-04-26,Desktop,314.3,Won,Customer_83,4243.67
2023-04-26,Phone,3176.96,Pending,Customer_3,4243.67
2023-04-27,Tablet,610.27,Won,Customer_23,4432.219999999999
2023-04-27,Phone,3821.95,Lost,Customer_70,4432.219999999999
2023-04-28,Phone,502.81,Won,Customer_19,11943.29
2023-04-28,Tablet,3583.34,Pending,Customer_45,11943.29
2023-04-28,Phone,3755.03,Pending,Customer_53,11943.29
2023-04-28,Laptop,4102.11,Won,Customer_45,11943.29
2023-04-29,Laptop,4147.59,Won,Customer_42,7411.72
2023-04-29,Phone,3264.13,Won,Customer_25,7411.72
2023-04-30,Desktop,917.74,Won,Customer_68,2940.4700000000003
2023-04-30,Accessories,2022.73,Won,Customer_9,2940.4700000000003
2023-05-01,Phone,2744.69,Lost,Customer_28,3525.16
2023-05-01,Tablet,780.47,Lost,Customer_85,3525.16
2023-05-02,Phone,3050.51,Won,Customer_52,16607.87
2023-05-02,Phone,2648.93,Won,Customer_18,16607.87
2023-05-02,Laptop,4251.12,Won,Customer_56,16607.87
2023-05-02,Accessories,561.34,Won,Customer_28,16607.87
2023-05-02,Accessories,1767.86,Lost,Customer_78,16607.87
2023-05-02,Accessories,4328.11,Lost,Customer_61,16607.87
2023-05-03,Tablet,3135.54,Won,Customer_58,3135.54
2023-05-04,Accessories,775.33,Lost,Customer_88,1996.9099999999999
2023-05-04,Accessories,1221.58,Pending,Customer_39,1996.9099999999999
2023-05-05,Desktop,1050.37,Lost,Customer_84,1050.37
2023-05-06,Tablet,132.88,Lost,Customer_77,14948.41
2023-05-06,Desktop,1494.36,Won,Customer_87,14948.41
2023-05-06,Tablet,4985.68,Won,Customer_63,14948.41
2023-05-06,Desktop,555.85,Won,Customer_96,14948.41
2023-05-06,Laptop,3507.54,Won,Customer_5,14948.41
2023-05-06,Laptop,4272.1,Won,Customer_20,14948.41
2023-05-07,Laptop,430.18,Won,Customer_19,1972.13
2023-05-07,Phone,1183.21,Lost,Customer_16,1972.13
2023-05-07,Laptop,358.74,Won,Customer_40,1972.13
2023-05-08,Accessories,3952.75,Lost,Customer_63,10253.17
2023-05-08,Desktop,3329.27,Won,Customer_56,10253.17
2023-05-08,Tablet,966.75,Won,Customer_82,10253.17
2023-05-08,Laptop,2004.4,Won,Customer_42,10253.17
2023-05-09,Accessories,2484.33,Lost,Customer_10,5011.3099999999995
2023-05-09,Tablet,1771.34,Won,Customer_17,5011.3099999999995
2023-05-09,Accessories,755.64,Lost,Customer_94,5011.3099999999995
2023-05-10,Phone,3905.95,Won,Customer_22,4007.58
2023-05-10,Tablet,101.63,Won,Customer_77,4007.58
2023-05-11,Laptop,4977.85,Lost,Customer_40,16371.970000000001
2023-05-11,Desktop,4072.36,Won,Customer_75,16371.970000000001
2023-05-11,Phone,2435.81,Won,Customer_35,16371.970000000001
2023-05-11,Desktop,4885.95,Won,Customer_34,16371.970000000001
2023-05-12,Desktop,4119.85,Lost,Customer_4,4119.85
2023-05-13,Accessories,825.12,Won,Customer_96,11845.010000000002
2023-05-13,Phone,1783.95,Lost,Customer_96,11845.010000000002
2023-05-13,Accessories,552.2,Won,Customer_66,11845.010000000002
2023-05-13,Phone,4398.47,Won,Customer_85,11845.010000000002
2023-05-13,Phone,4285.27,Lost,Customer_38,11845.010000000002
2023-05-14,Desktop,4941.52,Won,Customer_35,7576.06
2023-05-14,Accessories,1796.98,Won,Customer_54,7576.06
2023-05-14,Laptop,837.56,Won,Customer_36,7576.06
2023-05-15,Desktop,2660.16,Won,Customer_50,4729.92
2023-05-15,Laptop,286.31,Pending,Customer_40,4729.92
2023-05-15,Tablet,1783.45,Won,Customer_13,4729.92
2023-05-16,Desktop,4111.66,Won,Customer_65,9043.55
2023-05-16,Laptop,4496.21,Pending,Customer_43,9043.55
2023-05-16,Tablet,435.68,Won,Customer_10,9043.55
2023-05-17,Laptop,1309.85,Won,Customer_28,2448.56
2023-05-17,Tablet,1138.71,Won,Customer_38,2448.56
2023-05-18,Accessories,4183.25,Pending,Customer_79,7040.54
2023-05-18,Phone,2857.29,Won,Customer_71,7040.54
2023-05-19,Tablet,1752.41,Pending,Customer_95,6503.0599999999995
2023-05-19,Tablet,4750.65,Won,Customer_78,6503.0599999999995
2023-05-20,Tablet,1402.67,Won,Customer_30,1688.7800000000002
2023-05-20,Tablet,286.11,Won,Customer_96,1688.7800000000002
2023-05-21,Desktop,3315.06,Lost,Customer_11,4945.57
2023-05-21,Phone,1630.51,Won,Customer_80,4945.57
2023-05-22,Laptop,3435.7,Lost,Customer_68,6534.21
2023-05-22,Tablet,3098.51,Won,Customer_27,6534.21
2023-05-23,Desktop,619.06,Won,Customer_80,5829.68
2023-05-23,Desktop,3866.14,Pending,Customer_39,5829.68
2023-05-23,Accessories,1344.48,Won,Customer_87,5829.68
2023-05-24,Desktop,1685.15,Won,Customer_73,22141.51
2023-05-24,Accessories,4373.46,Won,Customer_58,22141.51
2023-05-24,Desktop,3923.96,Won,Customer_25,22141.51
2023-05-24,Desktop,3332.18,Won,Customer_59,22141.51
2023-05-24,Laptop,3488.93,Won,Customer_90,22141.51
2023-05-24,Laptop,3694.72,Won,Customer_30,22141.51
2023-05-24,Phone,1643.11,Won,Customer_98,22141.51
2023-05-25,Laptop,3020.35,Pending,Customer_37,12175.18
2023-05-25,Desktop,3030.75,Won,Customer_69,12175.18
2023-05-25,Tablet,242.45,Won,Customer_87,12175.18
2023-05-25,Phone,4383.71,Lost,Customer_64,12175.18
2023-05-25,Phone,1497.92,Lost,Customer_47,12175.18
2023-05-26,Tablet,4910.81,Lost,Customer_77,7878.040000000001
2023-05-26,Laptop,2047.17,Pending,Customer_15,7878.040000000001
2023-05-26,Tablet,920.06,Won,Customer_34,7878.040000000001
2023-05-27,Desktop,974.03,Lost,Customer_47,19699.53
2023-05-27,Accessories,2083.51,Won,Customer_30,19699.53
2023-05-27,Tablet,3107.51,Lost,Customer_23,19699.53
2023-05-27,Desktop,4693.03,Won,Customer_1,19699.53
2023-05-27,Laptop,4336.84,Won,Customer_1,19699.53
2023-05-27,Tablet,4504.61,Lost,Customer_6,19699.53
2023-05-28,Phone,3304.97,Won,Customer_13,11692.75
2023-05-28,Phone,4132.5,Won,Customer_63,11692.75
2023-05-28,Desktop,4255.28,Won,Customer_2,11692.75
2023-05-29,Accessories,1297.27,Won,Customer_9,1297.27
2023-05-30,Tablet,4411.1,Lost,Customer_12,8719.720000000001
2023-05-30,Accessories,2276.23,Won,Customer_65,8719.720000000001
2023-05-30,Desktop,2032.39,Won,Customer_51,8719.720000000001
2023-05-31,Tablet,718.64,Won,Customer_40,13465.75
2023-05-31,Desktop,3216.75,Lost,Customer_9,13465.75
2023-05-31,Desktop,3972.65,Won,Customer_55,13465.75
2023-05-31,Accessories,2148.15,Won,Customer_14,13465.75
2023-05-31,Accessories,3409.56,Pending,Customer_93,13465.75
2023-06-01,Phone,3628.04,Won,Customer_17,18279.59
2023-06-01,Tablet,2907.9,Won,Customer_32,18279.59
2023-06-01,Phone,2708.06,Won,Customer_15,18279.59
2023-06-01,Laptop,4620.85,Lost,Customer_8,18279.59
2023-06-01,Desktop,3109.0,Pending,Customer_98,18279.59
2023-06-01,Phone,1305.74,Won,Customer_73,18279.59
2023-06-02,Accessories,3927.74,Won,Customer_12,8005.33
2023-06-02,Desktop,4077.59,Won,Customer_34,8005.33
2023-06-03,Accessories,2992.4,Lost,Customer_67,11632.22
2023-06-03,Tablet,4783.54,Won,Customer_47,11632.22
2023-06-03,Accessories,3856.28,Lost,Customer_51,11632.22
2023-06-04,Tablet,4894.15,Won,Customer_56,6448.12
2023-06-04,Phone,1553.97,Won,Customer_31,6448.12
2023-06-05,Laptop,456.09,Pending,Customer_41,456.09
2023-06-06,Tablet,794.69,Won,Customer_10,794.69
2023-06-07,Phone,109.21,Lost,Customer_70,2547.78
2023-06-07,Phone,1999.22,Won,Customer_64,2547.78
2023-06-07,Desktop,439.35,Lost,Customer_86,2547.78
2023-06-09,Accessories,1993.66,Lost,Customer_97,18283.97
2023-06-09,Phone,743.61,Pending,Customer_99,18283.97
2023-06-09,Desktop,3960.72,Won,Customer_62,18283.97
2023-06-09,Laptop,2546.74,Pending,Customer_57,18283.97
2023-06-09,Accessories,4774.76,Won,Customer_57,18283.97
2023-06-09,Tablet,1346.18,Won,Customer_22,18283.97
